"Var1","Var2"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Laundry","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
"Main_meal","Wife"
